revision,unique_types,entropy
4,6,0.64
6,6,0.584
8,6,0.626
11,7,0.47
14,2,0.235
19,2,0.159
22,1,0.0
33,2,0.256
38,2,0.235
41,1,0.0
49,4,0.472
51,4,0.491
53,3,0.32
54,0,0.0
58,2,0.235
59,6,0.588
60,6,0.484
62,6,0.58
64,5,0.545
65,1,0.0
67,2,0.256
68,4,0.512
70,3,0.384
77,3,0.353
93,2,0.235
94,5,0.581
95,3,0.329
99,10,0.508
100,1,0.0
121,1,0.0
127,2,0.256
130,6,0.497
131,0,0.0
132,8,0.686
134,5,0.543
137,2,0.235
140,3,0.384
142,10,0.645
144,8,0.62
155,8,0.583
157,1,0.0
164,1,0.0
169,1,0.0
170,2,0.256
183,2,0.252
186,5,0.572
188,0,0.0
189,1,0.0
190,4,0.205
193,4,0.493
201,0,0.0
202,5,0.544
204,1,0.0
206,5,0.39
207,1,0.0
211,1,0.0
212,2,0.256
213,2,0.256
217,2,0.256
218,5,0.551
219,1,0.0
222,1,0.0
235,2,0.208
238,2,0.016
241,2,0.12
252,3,0.384
254,5,0.462
255,1,0.0
256,4,0.492
259,2,0.235
261,2,0.159
262,9,0.472
265,7,0.496
267,2,0.083
270,3,0.324
271,1,0.0
279,1,0.0
280,2,0.083
282,6,0.624
283,5,0.531
295,3,0.39
299,10,0.539
301,10,0.536
314,10,0.536
319,1,0.0
323,8,0.743
329,4,0.184
330,1,0.0
334,1,0.0
338,6,0.401
339,1,0.0
340,1,0.0
341,1,0.0
348,4,0.412
350,2,0.151
351,2,0.151
353,2,0.166
355,1,0.0
361,1,0.0
363,2,0.235
367,1,0.0
374,9,0.677
375,2,0.235
376,1,0.0
382,5,0.56
383,3,0.39
384,2,0.235
387,2,0.235
392,2,0.256
399,4,0.491
401,7,0.23
402,1,0.0
403,3,0.406
404,6,0.525
414,2,0.208
416,5,0.499
421,3,0.373
424,0,0.0
427,2,0.018
431,5,0.543
432,1,0.0
436,5,0.562
437,4,0.225
438,5,0.572
439,3,0.39
442,4,0.512
448,0,0.0
452,1,0.0
453,4,0.327
456,10,0.612
457,1,0.0
458,3,0.39
460,2,0.249
462,3,0.367
467,4,0.451
468,1,0.0
469,2,0.208
482,7,0.424
488,1,0.0
495,2,0.256
497,5,0.572
499,5,0.506
502,5,0.56
503,2,0.249
511,7,0.64
512,2,0.235
514,1,0.0
516,1,0.0
520,4,0.492
526,2,0.208
527,2,0.235
532,1,0.0
533,1,0.0
538,6,0.617
539,8,0.461
541,7,0.646
543,2,0.235
544,8,0.704
545,7,0.484
549,8,0.696
550,1,0.0
551,4,0.492
552,2,0.185
553,3,0.406
563,3,0.406
565,9,0.454
566,4,0.491
569,0,0.0
577,4,0.512
579,1,0.0
582,6,0.618
583,11,0.427
588,7,0.618
589,3,0.39
601,2,0.062
602,3,0.367
608,1,0.0
615,1,0.0
616,6,0.507
618,1,0.0
619,1,0.0
621,1,0.0
630,10,0.572
634,1,0.0
648,1,0.0
650,2,0.235
652,2,0.235
653,2,0.208
658,7,0.421
665,4,0.472
666,6,0.456
667,4,0.464
668,1,0.0
673,4,0.491
674,2,0.235
676,3,0.406
677,7,0.642
679,1,0.0
680,2,0.235
681,8,0.63
682,3,0.384
683,1,0.0
686,7,0.341
687,4,0.429
691,3,0.384
698,6,0.438
701,2,0.249
703,1,0.0
706,1,0.0
709,1,0.0
711,5,0.446
713,5,0.578
721,1,0.0
722,5,0.544
723,4,0.408
724,6,0.567
725,4,0.263
728,2,0.185
730,1,0.0
731,6,0.619
732,8,0.744
733,5,0.481
744,1,0.0
752,6,0.6
757,2,0.166
762,3,0.272
763,4,0.492
764,4,0.491
771,6,0.464
777,2,0.256
779,4,0.492
780,2,0.256
782,2,0.235
786,7,0.658
789,2,0.256
790,2,0.235
791,4,0.393
798,2,0.256
803,2,0.256
809,9,0.308
811,1,0.0
814,0,0.0
816,0,0.0
818,1,0.0
820,2,0.256
821,2,0.256
822,3,0.384
823,3,0.384
824,2,0.235
825,1,0.0
826,1,0.0
827,2,0.235
829,2,0.208
830,1,0.0
831,11,0.584
834,5,0.541
837,1,0.0
845,1,0.0
853,1,0.0
854,1,0.0
855,1,0.0
856,3,0.351
857,3,0.392
858,1,0.0
861,1,0.0
863,3,0.296
864,5,0.341
867,3,0.351
873,5,0.572
876,3,0.383
883,1,0.0
889,6,0.415
899,2,0.235
902,5,0.279
916,2,0.235
917,5,0.389
918,3,0.39
919,0,0.0
920,7,0.531
921,4,0.491
925,4,0.491
926,1,0.0
927,2,0.256
943,3,0.406
944,6,0.267
947,4,0.451
948,2,0.235
953,1,0.0
956,3,0.39
958,6,0.626
966,4,0.241
967,7,0.666
969,4,0.402
970,3,0.294
972,9,0.759
981,4,0.271
990,5,0.186
991,2,0.256
994,1,0.0
998,4,0.496
1000,2,0.256
1014,2,0.256
1018,2,0.208
1022,5,0.554
1025,8,0.484
1026,3,0.39
1036,10,0.558
1039,0,0.0
1041,2,0.151
1067,1,0.0
1068,9,0.569
1071,6,0.552
1084,5,0.544
1087,4,0.499
1090,2,0.185
1091,2,0.208
1100,12,0.712
1102,6,0.641
1103,0,0.0
1104,7,0.542
1105,5,0.474
1107,1,0.0
1108,1,0.0
1111,3,0.384
1119,7,0.674
1127,1,0.0
1128,6,0.544
1133,2,0.208
1151,3,0.12
1152,1,0.0
1153,0,0.0
1154,3,0.406
1155,11,0.711
1157,6,0.618
1158,8,0.467
1160,6,0.403
1161,2,0.235
1191,4,0.372
1209,4,0.463
1227,6,0.453
1228,1,0.0
1243,1,0.0
1247,2,0.235
1249,9,0.683
1250,3,0.373
1253,3,0.39
1254,1,0.0
1270,3,0.384
1271,1,0.0
1275,1,0.0
1280,1,0.0
1284,2,0.235
1288,1,0.0
1289,5,0.2
1292,3,0.384
1294,4,0.328
1295,12,0.716
1297,8,0.373
1300,3,0.213
1302,2,0.151
1304,3,0.406
1306,2,0.235
1312,3,0.406
1313,3,0.297
1316,2,0.151
1318,2,0.256
1319,2,0.256
1321,5,0.576
1324,1,0.0
1326,2,0.208
1327,3,0.384
1328,9,0.643
1331,1,0.0
1337,9,0.437
1344,1,0.0
1345,4,0.449
1347,4,0.331
1349,10,0.678
1353,7,0.627
1355,2,0.185
1361,3,0.406
1363,7,0.372
1364,4,0.451
1370,5,0.513
1371,1,0.0
1372,1,0.0
1373,10,0.354
1376,4,0.464
1377,1,0.0
1380,1,0.0
1382,1,0.0
1384,4,0.448
1385,2,0.208
1386,1,0.0
1390,4,0.424
1391,8,0.72
1392,3,0.384
1394,3,0.406
1401,3,0.384
1406,4,0.493
1407,2,0.256
1410,0,0.0
1412,2,0.256
1413,1,0.0
1416,3,0.332
1418,10,0.355
1426,6,0.556
1427,2,0.256
1429,3,0.384
1431,4,0.347
1433,1,0.0
1435,8,0.623
1440,0,0.0
1441,3,0.272
1442,5,0.542
1443,4,0.338
1475,4,0.197
1476,4,0.343
1477,4,0.473
1478,1,0.0
1486,2,0.208
1488,2,0.256
1490,3,0.351
1492,4,0.196
1493,5,0.524
1498,10,0.645
1499,2,0.256
1502,5,0.552
1503,3,0.348
1508,1,0.0
1509,4,0.492
1510,1,0.0
1516,3,0.406
1519,3,0.406
1520,8,0.433
1524,1,0.0
1526,2,0.235
1527,6,0.63
1528,1,0.0
1532,1,0.0
1539,8,0.428
1540,4,0.443
1549,3,0.39
1553,6,0.653
1559,4,0.389
1560,1,0.0
1562,3,0.373
1563,1,0.0
1564,6,0.593
1567,2,0.256
1570,3,0.392
1574,3,0.353
1575,3,0.313
1576,1,0.0
1577,7,0.45
1579,0,0.0
1581,1,0.0
1582,4,0.492
1585,5,0.5
1586,3,0.351
1587,1,0.0
1588,4,0.402
1589,3,0.373
1593,4,0.472
1594,0,0.0
1595,1,0.0
