revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
4,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,2
6,0,3,4,0,0,1,0,1,0,0,0,1,0,0,0,5
8,0,3,1,0,0,2,0,0,0,0,0,0,1,0,1,2
11,0,1,15,0,0,0,5,1,1,0,0,1,0,0,0,1
14,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0
51,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,2,7,0,0,2,2,3,0,0,0,0,0,0,0,0
60,0,3,12,0,0,1,0,3,0,0,0,1,0,0,0,1
62,0,10,2,0,0,3,0,2,0,0,0,11,0,0,0,5
64,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
68,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
70,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
77,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2
93,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
94,0,3,4,0,0,2,2,0,0,0,0,0,0,0,0,3
95,0,11,0,0,20,0,0,0,0,0,0,3,0,0,0,0
99,2,11,162,0,8,1,27,38,0,0,3,13,0,0,0,5
100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
121,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,0,9,0,0,0,22,0,2,0,0,5,1,0,0,0,3
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,4,9,0,0,1,9,4,0,0,0,2,0,0,0,3
134,0,2,2,0,0,0,1,5,0,0,0,4,0,0,0,0
137,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
140,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
142,1,14,20,0,0,1,0,4,2,0,2,1,2,0,0,5
144,1,0,3,1,0,13,0,6,0,0,2,1,0,0,0,9
155,10,1,22,0,0,4,4,1,0,0,0,3,0,0,0,2
157,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
170,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
183,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
186,0,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,3,4,55,0,0,0,0,2,0,0,0,0,0,0,0,0
193,3,0,7,0,0,0,4,0,0,0,0,4,0,0,0,0
