revision,unique_types,entropy
3,3,0.384
5,3,0.28
7,2,0.235
13,1,0.0
16,1,0.0
17,1,0.0
32,1,0.0
34,1,0.0
36,10,0.654
37,1,0.0
39,1,0.0
40,1,0.0
43,1,0.0
46,4,0.381
47,0,0.0
50,1,0.0
52,2,0.256
55,3,0.232
56,4,0.331
57,1,0.0
61,2,0.256
71,4,0.413
72,6,0.646
73,6,0.633
115,1,0.0
116,1,0.0
128,3,0.373
135,3,0.406
136,1,0.0
139,5,0.512
141,2,0.256
143,1,0.0
145,5,0.438
147,1,0.0
148,4,0.412
149,9,0.653
150,7,0.459
151,3,0.39
153,3,0.406
166,2,0.256
176,3,0.406
177,3,0.406
178,1,0.0
179,1,0.0
185,3,0.384
187,1,0.0
191,2,0.235
192,1,0.0
194,1,0.0
197,0,0.0
199,2,0.235
200,8,0.555
208,6,0.582
209,1,0.0
214,4,0.109
215,1,0.0
220,5,0.475
221,5,0.475
223,5,0.462
224,1,0.0
225,4,0.442
230,2,0.256
239,2,0.235
240,1,0.0
244,1,0.0
245,1,0.0
248,5,0.181
249,1,0.0
251,0,0.0
264,1,0.0
268,3,0.171
274,1,0.0
277,1,0.0
278,0,0.0
281,1,0.0
284,1,0.0
286,2,0.256
298,1,0.0
300,1,0.0
302,2,0.151
304,1,0.0
306,1,0.0
308,2,0.235
309,1,0.0
310,2,0.235
311,0,0.0
312,1,0.0
315,2,0.235
320,1,0.0
321,1,0.0
327,0,0.0
328,0,0.0
332,9,0.677
333,1,0.0
335,3,0.236
336,0,0.0
345,1,0.0
347,13,0.615
349,3,0.351
356,5,0.556
364,1,0.0
366,6,0.431
372,9,0.677
377,1,0.0
390,1,0.0
391,1,0.0
393,2,0.256
394,4,0.331
397,1,0.0
398,3,0.406
400,1,0.0
415,1,0.0
417,2,0.256
418,2,0.235
419,1,0.0
423,1,0.0
426,0,0.0
433,2,0.256
434,10,0.666
441,2,0.235
443,5,0.468
450,1,0.0
451,2,0.256
454,1,0.0
459,1,0.0
463,1,0.0
475,1,0.0
476,3,0.406
477,1,0.0
479,4,0.492
483,0,0.0
485,1,0.0
490,6,0.632
492,3,0.32
493,2,0.256
500,0,0.0
501,0,0.0
505,3,0.39
513,1,0.0
515,0,0.0
523,2,0.235
524,1,0.0
529,3,0.273
537,0,0.0
542,3,0.155
