file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
5,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,3,11,29,0,0,49,6,2,0,0,4,18,0,0,1,6
37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,0,39,0,0,0,0,0,0,0,7,7,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
55,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0
56,0,1,10,2,0,0,0,0,0,0,0,1,0,0,0,0
57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
71,0,1,2,0,0,7,0,0,0,0,0,2,0,0,0,0
72,0,1,0,0,0,2,0,0,0,0,0,0,2,2,2,1
73,0,3,0,0,0,4,0,0,0,0,2,2,1,0,0,3
115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0
135,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
136,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,6,0,0,0,12,0,1,0,0,0,5,0,0,0,14
141,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,3,1,15,0,0,0,4,0,0,0,0,0,0,0,0,2
