BugID,Location
675437,work/mozilla/builds/nightly/mozilla/layout/style/../../content/base/src/nsAttrName.h nsAttrName.h
668579,dist/include/nsThreadUtils.h
640934,src/xpconnect/src/xpcprivate.h
616572,base/nsCSSFrameConstructor.h
817342,crtexe.c
505742,lib/ds/plarena.c
774622,xpconnect/src/xpcprivate.h chromium/src/base/task.h
623638,plugin/base/src/nsNPAPIPluginStreamListener.h
612261,src/jsinterpinlines.h
618683,chromium/src/base/message_pump_win.h memory/jemalloc/crtsrc/crtexe.c
628152,dist/include/nsAutoPtr.h
704684,generic/nsIFrame.h base/FramePropertyTable.h pr/src/pthreads/ptthread.c
691847,memory/jemalloc/crtsrc/crt0dat.c src/jsemit.h memory/jemalloc/crtsrc/jemalloc.c xul/document/public/nsIXULPrototypeCache.h src/jsiter.h xpcom/build/pldhash.c src/jsxdrapi.h
728707,pr/src/misc/prinrval.c pr/src/md/windows/w95cv.c
646152,nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_pk11certstore.c sqlite3/src/sqlite3.c
728705,src/jsatominlines.h src/jsinterpinlines.h
635676,memory/jemalloc/crtsrc/crtexe.c
758872,events/src/nsEventListenerManager.h src/jscntxtinlines.h
519356,mozilla/memory/jemalloc/src/jemalloc.c typelib/xpt/src/xpt_arena.c
716336,nsISupportsUtils.h
771347,chromium/src/base/message_pump_win.h
635192,src/xpconnect/src/xpcprivate.h
581992,sqlite3/src/sqlite3.c
610435,canvas/src/WebGLContext.h
683967,chromium/src/base/message_pump_win.h
551384,memory/jemalloc/crtsrc/crtexe.c pr/src/md/windows/w95cv.c
726043,pr/src/threads/prcthr.c xpconnect/src/xpcpublic.h
631453,chromium/src/third_party/libevent/event.c
533717,memory/jemalloc/crtsrc/crtexe.c
485134,nsThreadUtils.h nsCOMPtr.h
695848,xpconnect/src/xpcprivate.h jemalloc/jemalloc.c pr/src/md/windows/w95thred.c
614761,memory/jemalloc/crtsrc/crtexe.c dist/include/nsTHashtable.h xpcom/build/pldhash.c
382356,nsprpub/pr/src/linking/prlink.c
463861,gfx/cairo/libpixman/src/pixman-access-accessors.c
624816,src/jsgc.h src/jsgcinlines.h pr/src/threads/combined/pruthr.c memory/jemalloc/crtsrc/threadex.c pr/src/md/windows/w95thred.c memory/jemalloc/crtsrc/onexit.c
819990,generic/nsIFrame.h
515243,nsCOMPtr.h
612096,cairo/cairo/src/cairo-surface.c cairo/cairo/src/cairo-array.c dist/include/nsAutoPtr.h dist/include/nsTArray.h components/nsComponentManager.h memory/jemalloc/crtsrc/crtexe.c
632504,mozilla/dist/include/nsTDependentString.h events/src/nsEventListenerManager.h mozilla/memory/jemalloc/crtsrc/jemalloc.c mozilla/dist/include/nsCharTraits.h
481933,libvorbis/lib/vorbis_synthesis.c liboggz/src/liboggz/oggz_read.c libfishsound/src/libfishsound/fishsound_vorbis.c libfishsound/src/libfishsound/fishsound_decode.c liboggplay/src/liboggplay/oggplay_callback.c
736761,style/nsCSSValue.h
707614,jsd/jsd_xpc.h src/jsscopeinlines.h
795728,layers/d3d9/ContainerLayerD3D9.h
646567,memory/jemalloc/crtsrc/jemalloc.c
444813,js/src/jsinterp.c js/src/jsapi.c
745141,pr/src/threads/combined/pruthr.c Preferences.h pr/src/md/windows/w95thred.c pr/src/misc/pratom.c
546301,mozilla/dist/include/nsIViewManager.h
687293,dist/include/nsThreadUtils.h
616591,pr/src/threads/combined/pruthr.c memory/jemalloc/crtsrc/threadex.c memory/jemalloc/crtsrc/onexit.c memory/jemalloc/crtsrc/jemalloc.c pr/src/md/windows/w95thred.c
578977,dist/include/FramePropertyTable.h generic/nsContainerFrame.h memory/jemalloc/crtsrc/jemalloc.c xpcom/build/pldhash.c
641227,generic/nsObjectFrame.h
797982,dist/include/nsAutoPtr.h mozjemalloc/jemalloc.c pr/src/md/windows/w95thred.c dist/include/nsISupportsImpl.h dist/include/nsTArray.h
702487,src/jsscopeinlines.h src/jsinterp.h src/jscntxtinlines.h
723464,pr/src/threads/combined/prulock.c dist/include/nsISupportsImpl.h src/jsgcinlines.h
691546,angle/src/compiler/intermediate.h angle/src/compiler/OutputGLSLBase.h src/jscntxt.h src/vm/Stack.h src/jscntxtinlines.h events/src/nsEventListenerManager.h jemalloc/jemalloc.c angle/src/compiler/InfoSink.h
618991,memory/jemalloc/crtsrc/crtexe.c
603356,src/jsscope.h
795821,pr/src/pthreads/ptsynch.c src/gc/Heap.h mozjemalloc/jemalloc.c src/jsinterp.h src/jscntxtinlines.h
605819,xpcom/build/pldhash.c
700594,nsTSubstring.h nsBindingManager.h nsContentUtils.h
