revision,changed_file,insertion,deletion
260424,1,0,1
260423,1,3,34
260422,1,2,2
260421,2,105,1
260420,2,0,27
260419,30,281,535
260418,12,0,56
260417,7,1,46
260416,49,293,4514
260415,6,12,155
260414,40,4,432
260413,1,1,2
260412,1,49,76
260411,1,0,2
260410,1,2,2
260409,2,1,3
260408,1,2,2
260407,110,971,5491
260406,110,5490,971
260405,2,8,14
260404,10,4,48
260403,1,12,12
260402,2,3,3
260401,8,401,446
260400,7,129,145
260399,2,0,18
260398,16,1240,171
260397,13,14,14
260396,13,14,14
260395,1,0,1
260394,0,0,0
260393,13,14,14
260392,26,88,208
260391,2,1,5
260390,4,20,169
260389,1,3,5
260388,20,393,199
260387,16,907,907
260386,17,32,109
260385,3,8,37
260384,47,171,157
260383,4,2,106
260382,1,1,15
260381,51,3,4084
260380,1,2,5
260379,57,163,570
260378,1,1,1
260377,1,7,45
260376,1,4,10
260375,34,193,1364
260374,1,0,2
260373,17,1245,173
260372,26,219,259
260371,7,10,20
260370,1,0,4
260369,27,145,326
260368,16,171,1240
260367,33,1314,421
260366,7,21,10
260365,237,2375,2517
260364,2,16,7
260363,1,0,3
260362,14,17,14
260361,1,0,3
260360,13,14,14
260359,15,17,15
260358,1,0,2
260357,1,1,1
260356,1,2,0
260355,1,0,2
260354,1,1,1
260353,3,19,35
260352,3,3,4
260351,105,1190,771
260350,101,620,1148
260349,1,1,12
260348,3,0,9
260347,5,12,55
260346,1,0,6
260345,1,1,1
260344,1,1,1
260343,1,1,1
260342,1,256,49
260341,1,18,27
260340,2,57,29
260339,2,33,7
260338,1,1,1
260337,82,770,428
260336,1,0,3
260335,81,421,749
260334,12,12,69
260333,2,9,21
260332,1,9,17
260331,66,720,318
260330,1,0,3
260329,64,314,711
260328,1,0,2
260327,63,713,316
260326,1,0,64
260325,2,39,80
260324,6,10,100
260323,56,274,476
260322,2,1,12
260321,2,10,0
260320,1,7,25
260319,2,0,10
260318,1,1,2
260317,1,2,4
260316,2,0,23
260315,19,37,30
260314,1,1,3
260313,25,246,105
260312,24,95,168
260311,1,1,1
260310,1,3,3
260309,1,0,12
260308,1,0,1
260307,3,2,10
260306,1,0,1
260305,21,48,59
260304,1,0,4
260303,1,1,1
260302,1,0,3
260301,1,1,2
260300,12,38,204
260299,3,0,48
260298,2,12,79
260297,4,2,16
260296,2,13,32
260295,1,10,13
260294,2,0,16
260293,4,34,91
260292,1,6,14
260291,1,1,1
260290,10,33,35
260289,1,0,3
260288,2,4,1
260287,1,0,3
260286,12,38,33
260285,3,24,5
260284,1,1,1
260283,1,2,21
260282,1,0,2
260281,1,0,1
260280,1,2,4
260279,18,21,18
260278,1,0,3
260277,16,17,17
260276,17,19,17
260275,1,0,2
260274,3,3,3
